hex_id,pop,light
86580975fffffff,3231,30
865809767ffffff,1808,30
86580976fffffff,1538,30
865809777ffffff,3403,33
865809787ffffff,4918,32
86580978fffffff,5815,33
865809797ffffff,5840,32
86580979fffffff,6269,33
8658097a7ffffff,4321,30
8658097afffffff,5671,34
8658097b7ffffff,4931,33
86580a007ffffff,15699,33
86580a00fffffff,6485,32
86580a017ffffff,29247,34
86580a01fffffff,7674,37
86580a027ffffff,7033,34
86580a02fffffff,13235,34
86580a037ffffff,10025,32
86580a047ffffff,3950,31
86580a04fffffff,6822,30
86580a057ffffff,5019,31
86580a05fffffff,6412,31
86580a067ffffff,8158,32
86580a06fffffff,4284,32
86580a077ffffff,5671,30
86580a087ffffff,23684,43
86580a08fffffff,13947,36
86580a097ffffff,52110,45
86580a09fffffff,46857,60
86580a0a7ffffff,19856,35
86580a0afffffff,18268,33
86580a0b7ffffff,33572,39
86580a0c7ffffff,16390,35
86580a0cfffffff,17402,33
86580a0d7ffffff,10102,34
86580a0dfffffff,20695,35
86580a0e7ffffff,10593,31
86580a0efffffff,11712,34
86580a0f7ffffff,7619,32
86580a107ffffff,6882,35
86580a10fffffff,5766,32
86580a117ffffff,6550,39
86580a11fffffff,5927,33
86580a127ffffff,8227,31
86580a12fffffff,7894,30
86580a137ffffff,7332,33
86580a147ffffff,9389,32
86580a14fffffff,23174,48
86580a157ffffff,7558,31
86580a15fffffff,14611,32
86580a167ffffff,7663,30
86580a16fffffff,6796,29
86580a177ffffff,7071,30
86580a187ffffff,10164,36
86580a18fffffff,11673,32
86580a197ffffff,25151,41
86580a19fffffff,15479,33
86580a1a7ffffff,8299,37
86580a1afffffff,7656,31
86580a1b7ffffff,35191,64
86580a207ffffff,5672,32
86580a20fffffff,9411,35
86580a217ffffff,7460,32
86580a21fffffff,49913,213
86580a227ffffff,6194,30
86580a22fffffff,4859,30
86580a237ffffff,6314,43
86580a247ffffff,32942,70
86580a24fffffff,9977,53
86580a257ffffff,12342,33
86580a25fffffff,6931,29
86580a267ffffff,8013,31
86580a26fffffff,7766,35
86580a277ffffff,8090,32
86580a287ffffff,11023,35
86580a28fffffff,8368,33
86580a297ffffff,10739,34
86580a29fffffff,5620,32
86580a2a7ffffff,5524,46
86580a2afffffff,11912,53
86580a2b7ffffff,11838,38
86580a2c7ffffff,9376,40
86580a2cfffffff,7369,30
86580a2d7ffffff,5724,32
86580a2dfffffff,12284,40
86580a2e7ffffff,12060,49
86580a2efffffff,5968,35
86580a2f7ffffff,18524,38
86580a307ffffff,5677,30
86580a30fffffff,13092,36
86580a317ffffff,7644,32
86580a31fffffff,7461,31
86580a327ffffff,3822,31
86580a32fffffff,3918,30
86580a337ffffff,3912,30
86580a347ffffff,4977,29
86580a34fffffff,4744,30
86580a357ffffff,5449,29
86580a35fffffff,4379,30
86580a367ffffff,22184,59
86580a36fffffff,3946,33
86580a377ffffff,7487,33
86580a387ffffff,6313,31
86580a38fffffff,5193,32
86580a397ffffff,24058,39
86580a39fffffff,7089,31
86580a3a7ffffff,12681,34
86580a3afffffff,7021,34
86580a3b7ffffff,12810,33
86580a407ffffff,117373,393
86580a40fffffff,142028,962
86580a417ffffff,20370,86
86580a41fffffff,408393,988
86580a427ffffff,40108,95
86580a42fffffff,40978,92
86580a437ffffff,42566,122
86580a447ffffff,32019,246
86580a44fffffff,34647,146
86580a457ffffff,203959,2310
86580a45fffffff,102361,1997
86580a467ffffff,22091,50
86580a46fffffff,19591,51
86580a477ffffff,48342,186
86580a487ffffff,23041,106
86580a48fffffff,102163,413
86580a497ffffff,14385,47
86580a49fffffff,28857,85
86580a4a7ffffff,44806,165
86580a4afffffff,167404,453
86580a4b7ffffff,21422,64
86580a4c7ffffff,416048,2729
86580a4cfffffff,97481,953
86580a4d7ffffff,206793,1723
86580a4dfffffff,108836,483
86580a4e7ffffff,1178600,3606
86580a4efffffff,285277,4685
86580a4f7ffffff,1023986,3156
86580a507ffffff,21376,61
86580a50fffffff,10562,49
86580a517ffffff,38580,63
86580a51fffffff,40412,84
86580a527ffffff,12217,39
86580a52fffffff,20777,39
86580a537ffffff,30802,96
86580a547ffffff,42931,49
86580a54fffffff,19798,42
86580a557ffffff,30039,67
86580a55fffffff,14137,51
86580a567ffffff,31723,36
86580a56fffffff,46994,61
86580a577ffffff,11748,41
86580a587ffffff,37822,82
86580a58fffffff,20199,65
86580a597ffffff,14184,43
86580a59fffffff,24211,74
86580a5a7ffffff,14150,42
86580a5afffffff,41303,101
86580a5b7ffffff,11953,40
86580a607ffffff,10125,42
86580a60fffffff,13239,38
86580a617ffffff,5972,49
86580a61fffffff,27302,41
86580a627ffffff,11215,46
86580a62fffffff,13511,39
86580a637ffffff,10859,57
86580a647ffffff,12653,33
86580a64fffffff,15810,38
86580a657ffffff,19343,34
86580a65fffffff,17087,38
86580a667ffffff,11837,35
86580a66fffffff,23632,44
86580a677ffffff,13558,37
86580a687ffffff,17225,76
86580a68fffffff,102873,303
86580a697ffffff,20328,37
86580a69fffffff,29015,44
86580a6a7ffffff,9485,67
86580a6afffffff,9525,44
86580a6b7ffffff,25722,86
86580a6c7ffffff,22190,46
86580a6cfffffff,10988,34
86580a6d7ffffff,29850,64
86580a6dfffffff,25805,41
86580a6e7ffffff,15752,42
86580a6efffffff,41223,73
86580a6f7ffffff,31957,53
86580a707ffffff,46090,88
86580a70fffffff,17112,45
86580a717ffffff,54178,367
86580a71fffffff,20286,77
86580a727ffffff,17459,48
86580a72fffffff,20007,42
86580a737ffffff,23641,51
86580a747ffffff,31081,41
86580a74fffffff,22623,34
86580a757ffffff,18494,45
86580a75fffffff,13670,34
86580a767ffffff,26527,36
86580a76fffffff,18928,85
86580a777ffffff,27870,39
86580a787ffffff,15819,147
86580a78fffffff,9102,70
86580a797ffffff,40630,351
86580a79fffffff,25541,129
86580a7a7ffffff,43492,542
86580a7afffffff,13888,98
86580a7b7ffffff,51076,744
86580a807ffffff,9190,32
86580a80fffffff,8267,32
86580a817ffffff,7257,31
86580a81fffffff,9923,32
86580a827ffffff,11956,32
86580a82fffffff,9235,31
86580a837ffffff,11893,39
86580a847ffffff,11671,31
86580a84fffffff,9839,30
86580a857ffffff,11109,31
86580a85fffffff,10138,29
86580a867ffffff,14915,38
86580a86fffffff,12488,32
86580a877ffffff,10020,29
86580a887ffffff,18654,32
86580a88fffffff,17253,31
86580a897ffffff,21263,34
86580a89fffffff,9147,30
86580a8a7ffffff,6991,31
86580a8afffffff,10793,29
86580a8b7ffffff,18309,47
86580a8c7ffffff,14130,32
86580a8cfffffff,26059,39
86580a8d7ffffff,12662,32
86580a8dfffffff,11532,30
86580a8e7ffffff,12072,29
86580a8efffffff,15023,30
86580a8f7ffffff,16569,33
86580a907ffffff,9004,29
86580a90fffffff,7567,30
86580a917ffffff,5592,31
86580a91fffffff,8321,31
86580a927ffffff,12859,39
86580a92fffffff,12586,36
86580a937ffffff,10071,31
86580a947ffffff,15025,40
86580a94fffffff,25384,55
86580a957ffffff,16139,39
86580a95fffffff,14925,30
