lng,lat,year,value
-46.4303,-23.8955,2000,53828
-56.0911,-15.6141,2000,588748
-49.2553,-25.4581,2000,2049764
-57.6794,-16.0797,2000,62728
-44.8877,-20.1459,2000,146903
-54.8027,-22.2299,2000,121356
-46.8557,-23.6967,2000,56665
-43.6036,-22.6807,2000,53317
-52.2695,-27.6432,2000,75494
-39.5773,-16.3644,2000,70188
-43.4564,-23.0138,2000,98761
-49.3132,-25.6545,2000,52174
-38.9614,-12.2514,2000,405506
-50.2489,-20.2831,2000,52503
-48.602,-27.5888,2000,459945
-45.4321,-20.4646,2000,52193
-47.332,-15.5441,2000,57292
-38.56,-3.777,2000,2548631
-54.5576,-25.5261,2000,206001
-47.398,-20.5254,2000,277170
-46.7342,-23.3038,2000,267609
-36.4845,-8.8895,2000,94514
-49.2859,-16.7008,2000,1226089
-41.959,-18.8693,2000,211558
-51.0516,-29.9311,2000,288025
-40.4965,-20.655,2000,52511
-51.4736,-25.3848,2000,116138
-45.1936,-22.8004,2000,79764
-51.3353,-30.1287,2000,62088
-49.0703,-11.731,2000,51589
-53.9183,-28.385,2000,66135
-39.0453,-14.8021,2000,167534
-47.4746,-5.5169,2000,207363
-47.2227,-23.1034,2000,119432
-42.556,-19.4607,2000,191674
-43.2223,-19.6376,2000,79514
-39.2755,-14.794,2000,185362
-43.7819,-22.8674,2000,61597
-55.9895,-4.2615,2000,62775
-48.6806,-26.9012,2000,150113
-45.4589,-22.4294,2000,53932
-41.8897,-21.2033,2000,65099
-48.0469,-23.5852,2000,91818
-48.8829,-23.9829,2000,59483
-46.837,-23.0083,2000,58358
-44.5814,-20.082,2000,67327
-47.2954,-23.273,2000,77927
-49.4649,-18.9792,2000,79789
-49.2246,-18.4104,2000,63951
-48.3257,-21.256,2000,59189
-45.9612,-23.3035,2000,141852
-49.0868,-26.4846,2000,56470
-46.7916,-23.4397,2000,57767
-51.7222,-17.8806,2000,55081
-48.5568,-22.2914,2000,92142
-40.082,-13.8615,2000,122889
-48.8288,-26.3051,2000,348699
-34.8785,-7.146,2000,790061
-39.3152,-7.2214,2000,172976
-43.3603,-21.7543,2000,405946
-46.8563,-23.198,2000,369868
-50.3209,-27.8164,2000,137093
-47.8849,-15.7544,2000,83733
-45.001,-21.2452,2000,68195
-47.3777,-22.1866,2000,70945
-47.4086,-22.5771,2000,235020
-40.0552,-19.3859,2000,75428
-49.7462,-21.6738,2000,59648
-51.1713,-23.3052,2000,434025
-45.1155,-22.7388,2000,70241
-47.9371,-16.2518,2000,55862
-51.0682,0.0416,2000,229900
-41.7789,-22.3659,2000,100983
-35.7439,-9.609,2000,795323
-60.6254,-3.2908,2000,51421
-60.0013,-3.0582,2000,1354813
-49.1278,-5.3416,2000,108851
-43.6015,-22.8245,2000,78313
-51.9156,-23.4198,2000,324421
-49.9489,-22.211,2000,169119
-48.3618,-21.6015,2000,60155
-46.9369,-22.3558,2000,112407
-46.956,-22.4282,2000,65236
-43.8581,-16.7303,2000,267908
